iter	Passed	Remaining
0	88	61514
1	167	58383
2	247	57522
3	341	59504
4	430	59825
5	507	58752
6	576	57073
7	646	55919
8	718	55176
9	786	54290
10	850	53272
11	923	52967
12	993	52507
13	1064	52169
14	1128	51526
15	1200	51308
16	1337	53731
17	1411	53473
18	1477	52962
19	1547	52620
20	1621	52419
21	1691	52119
22	1760	51808
23	1824	51384
24	1887	50969
25	1959	50788
26	2026	50504
27	2094	50270
28	2163	50047
29	2235	49931
30	2302	49696
31	2374	49571
32	2447	49470
33	2515	49269
34	2578	48996
35	2638	48667
36	2717	48695
37	2784	48508
38	2865	48560
39	2934	48424
40	3007	48344
41	3079	48243
42	3158	48256
43	3226	48103
44	3294	47955
45	3363	47813
46	3443	47837
47	3520	47819
48	3592	47728
49	3663	47631
50	3738	47569
51	3803	47402
52	3871	47263
53	3953	47295
54	4026	47215
55	4092	47061
56	4157	46898
57	4218	46696
58	4287	46582
59	4364	46554
60	4437	46487
61	4505	46365
62	4569	46202
63	4669	46404
64	4731	46226
65	4803	46147
66	4875	46063
67	4951	46019
68	5018	45896
69	5093	45838
70	5173	45831
71	5242	45722
72	5315	45650
73	5389	45593
74	5470	45584
75	5553	45596
76	5618	45458
77	5696	45424
78	5770	45358
79	5839	45252
80	5900	45090
81	5965	44955
82	6042	44916
83	6118	44870
84	6186	44764
85	6255	44663
86	6338	44663
87	6402	44525
88	6466	44393
89	6535	44294
90	6610	44239
91	6677	44128
92	6749	44055
93	6816	43942
94	6883	43834
95	6949	43726
96	7031	43713
97	7093	43571
98	7165	43500
99	7235	43415
100	7309	43348
101	7384	43293
102	7456	43215
103	7524	43123
104	7610	43128
105	7685	43065
106	7763	43027
107	7847	43015
108	7926	42975
109	8027	43057
110	8111	43042
111	8183	42964
112	8250	42857
113	8325	42794
114	8394	42701
115	8463	42609
116	8536	42537
117	8618	42505
118	8692	42440
119	8764	42362
120	8841	42308
121	8922	42272
122	9000	42221
123	9068	42126
124	9141	42050
125	9214	41979
126	9284	41891
127	9351	41787
128	9424	41717
129	9490	41610
130	9566	41552
131	9631	41446
132	9696	41337
133	9774	41285
134	9846	41210
135	9901	41060
136	9974	40992
137	10041	40893
138	10108	40797
139	10189	40758
140	10258	40671
141	10324	40570
142	10369	40389
143	10442	40321
144	10511	40231
145	10593	40196
146	10666	40126
147	10744	40072
148	10816	39998
149	10889	39929
150	10955	39829
151	11023	39741
152	11060	39543
153	11139	39495
154	11210	39415
155	11283	39346
156	11364	39304
157	11433	39222
158	11514	39178
159	11585	39099
160	11663	39046
161	11718	38916
162	11784	38822
163	11851	38732
164	11928	38676
165	12002	38608
166	12078	38548
167	12152	38482
168	12221	38401
169	12293	38325
170	12356	38226
171	12426	38147
172	12503	38089
173	12583	38039
174	12655	37966
175	12694	37795
176	12768	37728
177	12845	37671
178	12911	37579
179	12986	37515
180	13051	37423
181	13133	37379
182	13197	37285
183	13275	37228
184	13359	37190
185	13429	37111
186	13514	37074
187	13587	37004
188	13667	36953
189	13744	36894
190	13812	36808
191	13879	36721
192	13943	36630
193	14016	36559
194	14089	36487
195	14127	36327
196	14196	36246
197	14268	36175
198	14340	36104
199	14424	36060
200	14491	35976
201	14567	35913
202	14620	35794
203	14664	35654
204	14748	35612
205	14824	35549
206	14901	35489
207	14986	35449
208	15073	35412
209	15150	35351
210	15222	35279
211	15299	35217
212	15375	35154
213	15441	35067
214	15512	34992
215	15587	34926
216	15658	34852
217	15728	34776
218	15803	34710
219	15865	34615
220	15947	34565
221	16018	34490
222	16061	34354
223	16136	34289
224	16198	34197
225	16267	34119
226	16328	34023
227	16401	33953
228	16484	33904
229	16561	33842
230	16638	33780
231	16709	33706
232	16782	33636
233	16855	33566
234	16930	33500
235	17008	33440
236	17078	33364
237	17130	33252
238	17173	33124
239	17246	33056
240	17312	32972
241	17385	32903
242	17449	32816
243	17520	32743
244	17598	32682
245	17675	32619
246	17741	32538
247	17801	32444
248	17887	32398
249	17927	32268
250	18002	32203
251	18086	32154
252	18171	32106
253	18246	32038
254	18337	32000
255	18408	31927
256	18488	31869
257	18567	31809
258	18643	31744
259	18682	31615
260	18745	31530
261	18823	31468
262	18899	31403
263	18973	31335
264	19033	31244
265	19082	31134
266	19159	31071
267	19231	31000
268	19308	30937
269	19387	30876
270	19467	30817
271	19546	30757
272	19586	30635
273	19671	30584
274	19744	30513
275	19780	30387
276	19855	30321
277	19924	30245
278	19990	30164
279	20061	30091
280	20128	30013
281	20196	29937
282	20269	29866
283	20339	29793
284	20425	29742
285	20494	29666
286	20563	29591
287	20628	29510
288	20708	29450
289	20772	29367
290	20858	29316
291	20939	29257
292	21016	29193
293	21090	29125
294	21172	29067
295	21259	29016
296	21334	28948
297	21408	28879
298	21485	28815
299	21568	28757
300	21647	28695
301	21729	28636
302	21768	28521
303	21839	28448
304	21925	28395
305	22002	28329
306	22089	28276
307	22167	28212
308	22227	28125
309	22312	28070
310	22365	27974
311	22431	27895
312	22502	27822
313	22583	27761
314	22671	27710
315	22719	27608
316	22793	27539
317	22857	27457
318	22904	27355
319	22976	27285
320	23056	27222
321	23147	27172
322	23225	27108
323	23301	27041
324	23372	26968
325	23447	26899
326	23506	26813
327	23587	26752
328	23625	26641
329	23695	26567
330	23777	26506
331	23815	26398
332	23858	26294
333	23937	26231
334	24003	26153
335	24068	26074
336	24150	26014
337	24226	25946
338	24294	25871
339	24370	25803
340	24445	25736
341	24541	25689
342	24617	25622
343	24704	25566
344	24783	25502
345	24840	25415
346	24879	25310
347	24947	25234
348	25021	25165
349	25083	25083
350	25157	25014
351	25216	24929
352	25283	24854
353	25352	24779
354	25430	24714
355	25487	24628
356	25525	24524
357	25606	24462
358	25679	24391
359	25755	24324
360	25801	24229
361	25880	24164
362	25957	24098
363	25995	23996
364	26070	23927
365	26150	23864
366	26228	23798
367	26304	23731
368	26376	23660
369	26446	23587
370	26508	23507
371	26548	23408
372	26623	23340
373	26698	23271
374	26768	23199
375	26848	23135
376	26934	23076
377	27000	23000
378	27075	22932
379	27148	22861
380	27230	22799
381	27307	22732
382	27387	22668
383	27458	22595
384	27538	22531
385	27616	22465
386	27689	22395
387	27768	22329
388	27846	22262
389	27921	22194
390	28003	22130
391	28076	22060
392	28134	21977
393	28209	21908
394	28287	21842
395	28362	21773
396	28444	21709
397	28514	21636
398	28596	21572
399	28679	21509
400	28761	21445
401	28839	21378
402	28907	21304
403	28990	21240
404	29085	21186
405	29159	21115
406	29248	21056
407	29331	20992
408	29409	20924
409	29465	20841
410	29545	20775
411	29640	20719
412	29709	20645
413	29776	20570
414	29841	20493
415	29924	20429
416	30001	20360
417	30087	20297
418	30173	20235
419	30263	20175
420	30344	20109
421	30383	20015
422	30460	19947
423	30539	19879
424	30615	19809
425	30698	19744
426	30775	19676
427	30848	19604
428	30922	19534
429	30997	19463
430	31087	19402
431	31162	19332
432	31232	19258
433	31310	19190
434	31394	19125
435	31468	19054
436	31553	18989
437	31625	18917
438	31708	18851
439	31786	18783
440	31872	18718
441	31941	18644
442	32032	18583
443	32105	18511
444	32187	18444
445	32279	18383
446	32354	18312
447	32430	18241
448	32504	18170
449	32574	18096
450	32658	18030
451	32740	17963
452	32816	17893
453	32894	17824
454	32974	17755
455	33058	17689
456	33137	17619
457	33213	17549
458	33295	17481
459	33385	17418
460	33466	17350
461	33546	17281
462	33625	17212
463	33714	17147
464	33799	17081
465	33873	17009
466	33963	16945
467	34047	16878
468	34137	16813
469	34215	16743
470	34295	16674
471	34374	16604
472	34452	16534
473	34532	16465
474	34619	16398
475	34709	16333
476	34790	16264
477	34868	16194
478	34943	16122
479	35031	16056
480	35124	15992
481	35198	15919
482	35286	15853
483	35370	15785
484	35457	15718
485	35541	15649
486	35615	15577
487	35702	15510
488	35787	15442
489	35866	15371
490	35955	15304
491	36027	15230
492	36116	15164
493	36199	15095
494	36286	15027
495	36362	14955
496	36436	14882
497	36523	14814
498	36601	14743
499	36685	14674
500	36770	14605
501	36863	14539
502	36935	14465
503	37010	14392
504	37108	14328
505	37196	14261
506	37299	14198
507	37373	14125
508	37453	14054
509	37533	13982
510	37613	13911
511	37699	13842
512	37784	13773
513	37858	13699
514	37943	13630
515	38016	13556
516	38099	13486
517	38184	13416
518	38260	13343
519	38339	13271
520	38418	13199
521	38502	13129
522	38580	13056
523	38656	12983
524	38743	12914
525	38819	12841
526	38911	12773
527	38988	12700
528	39067	12628
529	39158	12560
530	39230	12485
531	39313	12414
532	39396	12343
533	39483	12273
534	39557	12199
535	39641	12129
536	39724	12057
537	39798	11983
538	39882	11912
539	39963	11840
540	40041	11768
541	40128	11698
542	40206	11625
543	40280	11551
544	40369	11481
545	40446	11407
546	40521	11334
547	40601	11261
548	40692	11192
549	40772	11119
550	40866	11051
551	40954	10980
552	41038	10909
553	41113	10835
554	41195	10762
555	41282	10691
556	41366	10620
557	41445	10547
558	41527	10474
559	41615	10403
560	41700	10332
561	41777	10258
562	41857	10185
563	41940	10113
564	42016	10039
565	42100	9967
566	42189	9896
567	42270	9823
568	42349	9750
569	42435	9678
570	42521	9606
571	42608	9534
572	42694	9462
573	42773	9389
574	42852	9315
575	42927	9241
576	43005	9167
577	43080	9093
578	43155	9018
579	43230	8944
580	43308	8870
581	43387	8796
582	43465	8722
583	43550	8650
584	43628	8576
585	43703	8501
586	43776	8427
587	43867	8355
588	43955	8283
589	44043	8211
590	44121	8137
591	44204	8064
592	44287	7991
593	44367	7917
594	44453	7844
595	44533	7770
596	44609	7696
597	44697	7624
598	44785	7551
599	44864	7477
600	44948	7404
601	45034	7331
602	45122	7258
603	45209	7185
604	45298	7112
605	45371	7037
606	45457	6964
607	45533	6889
608	45626	6817
609	45705	6743
610	45782	6668
611	45868	6595
612	45952	6521
613	46029	6447
614	46115	6373
615	46203	6300
616	46280	6225
617	46361	6151
618	46441	6077
619	46515	6001
620	46601	5928
621	46681	5853
622	46757	5779
623	46837	5704
624	46924	5630
625	47004	5556
626	47085	5481
627	47164	5407
628	47241	5332
629	47328	5258
630	47416	5185
631	47506	5111
632	47592	5037
633	47682	4963
634	47770	4889
635	47843	4814
636	47923	4739
637	48005	4665
638	48097	4591
639	48175	4516
640	48256	4441
641	48353	4368
642	48445	4294
643	48522	4219
644	48613	4145
645	48698	4070
646	48783	3996
647	48875	3922
648	48962	3847
649	49054	3773
650	49135	3698
651	49222	3623
652	49297	3548
653	49380	3473
654	49460	3398
655	49543	3323
656	49619	3247
657	49701	3172
658	49778	3096
659	49860	3021
660	49941	2946
661	50025	2871
662	50121	2797
663	50211	2722
664	50286	2646
665	50374	2571
666	50456	2496
667	50545	2421
668	50631	2346
669	50716	2270
670	50804	2195
671	50886	2120
672	50962	2044
673	51047	1969
674	51134	1893
675	51216	1818
676	51304	1742
677	51390	1667
678	51467	1591
679	51541	1515
680	51623	1440
681	51702	1364
682	51796	1289
683	51883	1213
684	51967	1137
685	52054	1062
686	52144	986
687	52216	910
688	52308	835
689	52394	759
690	52472	683
691	52559	607
692	52654	531
693	52724	455
694	52807	379
695	52897	304
696	52975	228
697	53056	152
698	53140	76
699	53224	0
